Name,URL
Mexican / ಮೆಕ್ಸಿಕನ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=25&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Mexican / ಮೆಕ್ಸಿಕನ್
Red / ಕೆಂಪು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=71&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Red / ಕೆಂಪು
White / ಬಿಳಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=72&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=White / ಬಿಳಿ
H.D. / ಹೈಬ್ರಿಡ್ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=73&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=H.D. / ಹೈಬ್ರಿಡ್
Local / ಸ್ಥಳೀಯ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=76&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Local / ಸ್ಥಳೀಯ
Medium / ಸಾಧಾರಣ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=80&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Medium / ಸಾಧಾರಣ
Mill Wheat / ಗಿರಣಿ ಗೋಧಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=82&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Mill Wheat / ಗಿರಣಿ ಗೋಧಿ
Sharabathi / ಶರಬತಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=84&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Sharabathi / ಶರಬತಿ
Other / ಇತರೆ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=1&VarCode=999&Date=DATEHERE&CommName=Wheat / ಗೋಧಿ&VarName=Other / ಇತರೆ
Paddy / ಭತ್ತ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=2&VarCode=1&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy / ಭತ್ತ-1
Paddy / ಭತ್ತ-1 (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=1&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy / ಭತ್ತ-1
I.R. 64 / ಐ.ಆರ್.64 (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=12&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=I.R. 64 / ಐ.ಆರ್.64
Sanna Bhatta / ಸಣ್ಣ ಭತ್ತ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=61&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Sanna Bhatta / ಸಣ್ಣ ಭತ್ತ
Paddy Sona / ಭತ್ತ ಸೋನ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=62&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy Sona / ಭತ್ತ ಸೋನ
Sona Mahsuri / ಸೋನ ಮಸೂರಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=74&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Sona Mahsuri / ಸೋನ ಮಸೂರಿ
Paddy Medium Variety / ಸಾಧಾರಣ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=117&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy Medium Variety / ಸಾಧಾರಣ
Sona Masuri Old  / ಹಳೇ ಸೋನ ಮಸೂರಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=250&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Sona Masuri Old  / ಹಳೇ ಸೋನ ಮಸೂರಿ
Sona Masuri New / ಹೊಸ ಸೋನ ಮಸೂರಿ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=251&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Sona Masuri New / ಹೊಸ ಸೋನ ಮಸೂರಿ
Paddy RNR New / ಭತ್ತದ ಆರ್ಎನ್ಆರ್ ಹೊಸದು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=302&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy RNR New / ಭತ್ತದ ಆರ್ಎನ್ಆರ್ ಹೊಸದು
Paddy RNR Old / ಭತ್ತದ ಆರ್ಎನ್ಆರ್ ಹಳೆಯದು (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=2&VarCode=303&Date=DATEHERE&CommName=Paddy / ಭತ್ತ&VarName=Paddy RNR Old / ಭತ್ತದ ಆರ್ಎನ್ಆರ್ ಹಳೆಯದು
Rice / ಅಕ್ಕಿ,MainPage/DailyMrktPriceRep2.aspx?Rep=Com&CommCode=3&VarCode=43&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Coarse / ದಪ್ಪ
Coarse / ದಪ್ಪ (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=43&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=Coarse / ದಪ್ಪ
CR 1009 (Coarse) Boiled / ಸಿ.ಆರ್.1009 (ಸಾಧಾರಣ ) (*),MainPage/DailyMrktPriceRep2.aspx?Rep=Var&CommCode=3&VarCode=45&Date=DATEHERE&CommName=Rice / ಅಕ್ಕಿ&VarName=CR 1009 (Coarse) Boiled / ಸಿ.ಆರ್.1009 (ಸಾಧಾರಣ )
